valdkond;juurprobleem;ettepanek;peavastutaja;staatus;kommentaar
Majutus, toitlustus, turism;Tööandjad väärtustavad spetsialistide värbamisel praktilisema õppe lõpetajaid (sh rakenduskõrgharidus), kelle tööoskused on koheseks tööle asumiseks sobivamad. Metsanduse ja puidutööstuse erialadel oodatakse ka kõrghariduses praktilise õppe osatähtsuse kasvu.;Kaaluda akadeemilise metsandusõppe õppekavade struktuuri ning spetsialiseerumise ulatuse muutmist katkestamata õppeajaga inseneriõppe ehk integreeritud inseneriõppe õppekavadeks.;Eesti Maaülikool;Töös;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.
Majutus, toitlustus, turism;Arenguhüppeks ja lisandväärtuse kasvatamiseks vajab valdkond uuenduslikku ja loovat lähenemist ning oskust valdkonnaspetsiifiliste IKT-võimaluste kasutamiseks;Koondada ühte veebikeskkonda info juba tehtud teadustöödest ning tootmissektorite ettevõtete uurimisprobleemidest, mida võiks kasutada tudengite lõputööde teemadena.;Eesti Maaülikool;Töös;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.
Majutus, toitlustus, turism;Valdkonna tööjõuvajadus tervikuna on pigem kasvav ja tasemeõppe lõpetajate osas jääb täna koolituspakkumine koolitusvajadusele alla ning valdkonnas on sobivate oskustega tööjõu puudus.;Viia ehitusinseneri õppekavasse spetsialiseerumise võimalus puitkonstruktsioonide projekteerijaks.;Erialaliidud;Töös;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.
Majutus, toitlustus, turism;Erialaliidud on valmis võtma eestvedaja rolli, et populariseerida valdkonna erialasid noorte seas.;Ettevõtjatele on senisest enam vaja selgitada kutsega töötajate väärtust ning äratada huvi kutsehariduses ja kutsesüsteemis pakutavate võimaluste vastu.;Erialaliidud;Töös;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.
Majutus, toitlustus, turism;Erialaliidud on valmis võtma eestvedaja rolli, et populariseerida valdkonna erialasid noorte seas.;Tõhustada karjääriõpet kõigil haridustasemetel kogu õppeaja jooksul, pöörates erilist tähelepanu järgnevale: õpi- ja tööharjumuse kujundamine alates algharidusest; põhikooli lõpuastmes ning nii gümnaasiumis kui ka kutseõppes tutvustada enam kohalikku majanduselu, sh külastada metsanduse ja puidutööstuse ettevõtteid eesmärgiga äratada huvi metsanduse, puidutöötlemise, sh puitmajade ja mööbli tootmise vastu; testida õpilaste motivatsiooni, isikuomaduste sobivust ja võimekust metsanduse ja puidutööstuse valdkonna erialade õppimiseks, st leida üles need õpilased, kellele meeldib metsamajandus ja puidutööstus. Suunata noori senisest enam mõtlema karjääritee valikule, mitte pelgalt koolivalikule; suunata väljalangemise ohus õpilased sobivamale erialale või anda õpilasele osakutse, et noorel oleks võimalus väärikalt tööturule siseneda.";Erialaliidud;Tagasi lükatud;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.
Metsandus ja puidutööstus;Tööandjad väärtustavad spetsialistide värbamisel praktilisema õppe lõpetajaid (sh rakenduskõrgharidus), kelle tööoskused on koheseks tööle asumiseks sobivamad. Metsanduse ja puidutööstuse erialadel oodatakse ka kõrghariduses praktilise õppe osatähtsuse kasvu.;Käivitada valdkonnas õpipoisiõppe eesmärgiga, et aastaks 2020 kasutavad seda õppevormi valdkonnas umbes 30% õppijatest.;Erialaliidud;Tagasi lükatud;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.
Metsandus ja puidutööstus;Tööandjad väärtustavad spetsialistide värbamisel praktilisema õppe lõpetajaid (sh rakenduskõrgharidus), kelle tööoskused on koheseks tööle asumiseks sobivamad. Metsanduse ja puidutööstuse erialadel oodatakse ka kõrghariduses praktilise õppe osatähtsuse kasvu.;Kaasata senisest enam ettevõtjaid koolide õppekavade töörühmadesse. Erialaliitudel määrata oma initsiatiivil vähemalt üks esindaja õppekava töörühma.;Erialaliidud;Tagasi lükatud;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.
Metsandus ja puidutööstus;Erialaliidud on valmis võtma eestvedaja rolli, et populariseerida valdkonna erialasid noorte seas.;Töötada välja tegevuskava metsanduse ja puidutööstuse erialade populariseerimiseks. Valdkonna tulevikku suunatud, huvitavaid ja kasulikke oskusi tutvustada juba üldhariduse tasemetel (põhikool ja gümnaasium), arvestades erinevas vanuses õpilaste huvidega;Erialaliidud;Tagasi lükatud;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.
Metsandus ja puidutööstus;Erialaliidud on valmis võtma eestvedaja rolli, et populariseerida valdkonna erialasid noorte seas.;Tutvustada karjäärinõustajatele metsanduse, puidutööstuse ja mööbli tootmise ettevõtjate võimalusi.;Erialaliidud;Tagasi lükatud;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.
Metsandus ja puidutööstus;Valdkonna tööjõuvajadus tervikuna on pigem kasvav ja tasemeõppe lõpetajate osas jääb täna koolituspakkumine koolitusvajadusele alla ning valdkonnas on sobivate oskustega tööjõu puudus.;Suurendada tootmisjuhi erialade lõpetajate arvu rakenduskõrghariduslikus õppes.;Haridus- ja Teadusministeerium;Ootel;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.
